state,sales_usd,txns,channel,product
CA,480000,900,direct,downloaded_software
CA,520000,80,direct,downloaded_software
NY,510000,90,direct,downloaded_software
NY,510000,120,direct,downloaded_software
NY,40000,250,direct,ebooks
IL,95000,400,direct,downloaded_software
IL,120000,50,direct,downloaded_software
TX,499000,2000,marketplace,saas
TX,501000,40,direct,saas
GA,4000,210,direct,ebooks
CT,120000,150,direct,saas
CT,120000,220,direct,saas
OR,800000,3000,direct,saas
FL,99000,500,direct,streaming
WA,100000,12,direct,saas
AL,249000,80,direct,downloaded_software
AL,251000,10,direct,downloaded_software
