abbr,status,sstrs,source_id,note
AL,out,no,SSTGB-2026-08-14,Not an SSUTA member
AK,out,no,SSTGB-2026-08-14,No statewide sales tax; ARSSTC is not SST
AZ,out,no,SSTGB-2026-08-14,Not an SSUTA member
AR,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
CA,out,no,SSTGB-2026-08-14,Largest market; separate CDTFA registration
CO,out,no,SSTGB-2026-08-14,Home-rule cities; not SST
CT,out,no,SSTGB-2026-08-14,Not an SSUTA member
DE,out,no,SSTGB-2026-08-14,No general sales tax
DC,out,no,SSTGB-2026-08-14,Not an SSUTA member
FL,out,no,SSTGB-2026-08-14,Not an SSUTA member
GA,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
HI,out,no,SSTGB-2026-08-14,GET, not SST
ID,out,no,SSTGB-2026-08-14,Not an SSUTA member
IL,out,no,SSTGB-2026-08-14,Not an SSUTA member
IN,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
IA,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
KS,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
KY,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
LA,out,no,SSTGB-2026-08-14,Not an SSUTA member
ME,out,no,SSTGB-2026-08-14,Not an SSUTA member
MD,out,no,SSTGB-2026-08-14,Not an SSUTA member
MA,out,no,SSTGB-2026-08-14,Not an SSUTA member
MI,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
MN,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
MS,out,no,SSTGB-2026-08-14,Not an SSUTA member
MO,out,no,SSTGB-2026-08-14,Not an SSUTA member
MT,out,no,SSTGB-2026-08-14,No general sales tax
NE,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
NV,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
NH,out,no,SSTGB-2026-08-14,No general sales tax
NJ,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
NM,out,no,SSTGB-2026-08-14,Not an SSUTA member
NY,out,no,SSTGB-2026-08-14,Not an SSUTA member
NC,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
ND,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
OH,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
OK,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
OR,out,no,SSTGB-2026-08-14,No general sales tax
PA,out,no,SSTGB-2026-08-14,Not an SSUTA member
RI,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
SC,out,no,SSTGB-2026-08-14,Not an SSUTA member
SD,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
TN,associate,limited,SSTGB-2026-08-14,Only associate member (since 2005-10-01); confirm SSTRS coverage
TX,out,no,SSTGB-2026-08-14,Not an SSUTA member
UT,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
VT,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
VA,out,no,SSTGB-2026-08-14,Not an SSUTA member
WA,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
WV,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
WI,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
WY,full,yes,SSTGB-2026-08-14,Full member — SSTRS eligible
